"idplayer","name","age","position","college","draftteam","draftposition","draftyear","born","experience"
347,"Langston Galloway",0,"noData","noData","noData",0,0,NULL,0
348,"Trae Young",0,"noData","noData","noData",0,0,NULL,0
349,"John Collins",0,"noData","noData","noData",0,0,NULL,0
350,"Clint Capela",0,"noData","noData","noData",0,0,NULL,0
351,"Bogdan Bogdanović",0,"noData","noData","noData",0,0,NULL,0
352,"DeAndre Hunter",0,"noData","noData","noData",0,0,NULL,0
353,"Kevin Huerter",0,"noData","noData","noData",0,0,NULL,0
354,"Danilo Gallinari",0,"noData","noData","noData",0,0,NULL,0
355,"Tony Snell",0,"noData","noData","noData",0,0,NULL,0
356,"Lou Williams",0,"noData","noData","noData",0,0,NULL,0
357,"Onyeka Okongwu",0,"noData","noData","noData",0,0,NULL,0
358,"Kris Dunn",0,"noData","noData","noData",0,0,NULL,0
359,"Skylar Mays",0,"noData","noData","noData",0,0,NULL,0
360,"Nathan Knight",0,"noData","noData","noData",0,0,NULL,0
361,"Bruno Fernando",0,"noData","noData","noData",0,0,NULL,0
362,"Solomon Hill",0,"noData","noData","noData",0,0,NULL,0
363,"Julius Randle",0,"noData","noData","noData",0,0,NULL,0
364,"RJ Barrett",0,"noData","noData","noData",0,0,NULL,0
365,"Nerlens Noel",0,"noData","noData","noData",0,0,NULL,0
366,"Reggie Bullock",0,"noData","noData","noData",0,0,NULL,0
367,"Elfrid Payton",0,"noData","noData","noData",0,0,NULL,0
368,"Derrick Rose",0,"noData","noData","noData",0,0,NULL,0
369,"Alec Burks",0,"noData","noData","noData",0,0,NULL,0
370,"Taj Gibson",0,"noData","noData","noData",0,0,NULL,0
371,"Immanuel Quickley",0,"noData","noData","noData",0,0,NULL,0
372,"Obi Toppin",0,"noData","noData","noData",0,0,NULL,0
373,"Frank Ntilikina",0,"noData","noData","noData",0,0,NULL,0
374,"Kevin Knox",0,"noData","noData","noData",0,0,NULL,0
375,"Norvel Pelle",0,"noData","noData","noData",0,0,NULL,0
376,"Theo Pinson",0,"noData","noData","noData",0,0,NULL,0
377,"Jared Harper",0,"noData","noData","noData",0,0,NULL,0
378,"Jonas Valančiūnas",0,"noData","noData","noData",0,0,NULL,0
379,"Dillon Brooks",0,"noData","noData","noData",0,0,NULL,0
380,"Ja Morant",0,"noData","noData","noData",0,0,NULL,0
381,"Jaren Jackson Jr.",0,"noData","noData","noData",0,0,NULL,0
382,"Desmond Bane",0,"noData","noData","noData",0,0,NULL,0
383,"DeAnthony Melton",0,"noData","noData","noData",0,0,NULL,0
384,"Tyus Jones",0,"noData","noData","noData",0,0,NULL,0
